Char_Name;Name_Jap;Name_Nick;Char_Data
Miyamizu, Mitsuha;Mitsuha Miyamizu (宮水 三葉);Mitsuha  Miyamizu;"
Age: 17
Birthday: April 28
Zodiac: Taurus

Mitsuha is generally a kind individual like Taki. She is a very determined person, sometimes persistent, and is also adventurous. Mitsuha wants to live in the city, because she is desperately getting tired of the country side."
Tachibana, Taki;Taki Tachibana (立花 瀧);Taki  Tachibana;"
Age: 17
Birthday: May 9
Zodiac: Taurus
Occupation: Italian Waiter

A high school boy who lives in the city side of Tokyo. In his daily life, he spends fun times with friends and works part-time at an Italian restaurant. He holds a secret affection toward his co-worker and senpai Okudera. He is interested in architecture and art.

Taki is also a kind individual, but he can sometimes be persistent. He is a very helpful and busy individual also, and sometimes may be a bit sensitive toward others. Taki is also quick to anger, which causes him to be impatient and stubborn."
Yukino, Yukari;Yukari Yukino (雪野 百香里);Yukari  Yukino;"
In
Kotonoha no Niwa
, she is a mysterious 27-year-old woman Takao meets one rainy day in the garden. She spends her days with chocolate in one hand and a beer in the other. Their rainy morning meetings begin after she responds to Takao's greeting in classic verse.


Unbeknownst to Takao, she was a teacher at his school, who was ignoring her job due to an incident where a group of Takao's Seniors tormented her because one of the members' boyfriend considered Yukino to be attractive. After getting caught in the rain one day, Yukino brings Takao back to her home to dry and iron his clothing. During his time there, he cooked her dinner and eventually confessed his love for her. She initially turned him down due to him being a student to which he dejectedly excused himself from her apartment. After he left, Yukino quickly began to cry and chased after him where she found him still loitering on the stairs outside her apartment. After a short silence, Takao became enraged and started yelling at Yukino, wanting her to say that she hated him and didn't think that he could become a shoemaker. These accusations caused Yukino to begin crying again, and she soon embraced him claiming that those days that she spent with him had saved her life.
In
Kimi no Na wa
, she is Mitsuha, Tessie, and Sayaka's Japanese literature teacher. She teaches them the word ""Kataware-doki,"" meaning ""twilight"" in the local Hida dialect.

(Source: Official site, edit)"
Okudera, Miki;Miki Okudera (奥寺 ミキ);Miki  Okudera;"
A university student, she works in the same restaurant as Taki. She and Taki have a mutual crush on each other. She is more commonly referred to as Ms. Okudera or senpai (a respectful term for upperclassman).

(Source: Wikipedia)"
Miyamizu, Yotsuha;Yotsuha Miyamizu (宮水 四葉);Yotsuha  Miyamizu;"
Mitsuha's younger sister, who lives with her and their grandmother. She thinks her sister is somewhat crazy but loves her despite the situation. She participates in creating both kumihimo and kuchikamizake.

(Source: Wikipedia)"
Miyamizu, Hitoha;Hitoha Miyamizu (宮水 一葉);Hitoha  Miyamizu;"
The head of the family shrine and the grandmother of Mitsuha and Yotsuha. Their family name 宮水 literally means ""shrine water"". She is the master of kumihimo, which is one of her family's traditions. The town 糸守 (Itomori), where she and her family live and half of the plot's events take place, means ""thread-guard"".

(Source: Wikipedia)"
Teshigawara, Katsuhiko;Katsuhiko Teshigawara (勅使河原 克彦);"Katsuhiko ""Tessie"" Teshigawara";"
Mitsuha's friend, who is an expert with construction machinery, particularly explosives.

(Source: Wikipedia)"
Fujii, Tsukasa;Tsukasa Fujii (藤井 司);Tsukasa  Fujii;"
One of Taki's friends in high school. He is often concerned about Taki whenever Mitsuha embodies him.

(Source: Wikipedia)"
Natori, Sayaka;Sayaka Natori (名取 早耶香);Sayaka  Natori;"
Mitsuha's friend. She is a nervous girl in the broadcast club in high school that vehemently denies her attraction to Katsuhiko.

(Source: Wikipedia)"
Takagi, Shinta;Shinta Takagi (高木 真太);Shinta  Takagi;"
One of Taki's friends in high school. He is optimistic and jumps to the rescue of his friends.

(Source: Wikipedia)"
Sakata, Gintoki;Gintoki Sakata (坂田 銀時);"Gintoki ""Yorozuya, Shiroyasha, Gin-san, Gin-chan"" Sakata";"
Age: late 20s
Birthday: October 10 (Libra)
Height: 177 cm
Weight: 65 kg
Likes: sweets, alcohol, Shounen Jump, strawberry milk, pachinko
Dislikes: ghosts, horror stuff
Favorite quote:
""Then and now, what I protect has never changed.""
Occupation: Yorozuya/Odd Jobs

Gintoki is a samurai living in an era when samurai are no longer needed. To add to his troubles, oppressive aliens have moved in to invade planet Earth. Gintoki works taking on odd jobs alongside two kids: Kagura and Shinpachi. In the Joui war, he was known as the ""White Devil"" (Shiroyasha) due to his silver hair and white clothing he wore in battle, which, combined with his impressive capabilities as a swordsman, made him famous among his comrades and struck fear in the hearts of the Amanto.

Gintoki has naturally permed silver hair, which he blames for his lacking love-life. He has a big crush on the TV's news weather girl, Ketsuno. In fact, to date, the only time he is seen to have blushed is when he tries to make use of Sadaharu and Ketsuno's dog to get a chance to talk to her.(Though he later does with Tsukuyo as well when she discovers him shopping) Though several female characters have shown an interest in Gintoki, he usually does not show any response and merely puts up with them as annoyances.

Gintoki has two major obsessions in life. He is obsessed with sweet food such as parfaits, ice cream and cakes. His second obsession is reading the manga anthology magazine Weekly Shounen Jump. (Which, not coincidentally, is where Gintama is published). Gintoki will go to great lengths to get the latest Jump issue, to the point of reckless behavior. His Jump obsession makes him dream of being like other Jump heroes, including wishing that he had a ""Bankai"" similar to the characters of Bleach.

Despite his appearance and initial behavior, Gintoki has a great amount of pride for the old bushido code. He takes it upon himself to rescue or avenge not only his comrades and friends but also people he's barely acquainted with, be it a pit-fighter who was taking care of abandoned orphans or an Amanto who resembles a kappa.

Despite being a fearsome fighter with nearly unmatched skills, he avoids needless bloodshed after suffering the loss of most of his friends and allies during the Joui war.

(Source: Wikipedia, VS Battles Wikia, edited)"
Kagura;Kagura  (神楽);"Kagura ""Gura, China Girl, Leader, Gurako"" ";"
Age: 14
Birthday: November 3
Zodiac: Scorpio
Height: 155 cm
Weight: 40 kg

Kagura, meaning ""god-entertainment"" is a member of the Yorozuya alongside Sakata Gintoki and Shinpachi Shimura and the main female protagonist of Gintama.

Although she appears to be a normal, cute, human girl in Chinese-style clothing, she actually belongs to the Yato Clan, one of the strongest and most bloodthirsty of the Amanto races. The Yato people are said to have ""transparent"" skin that is highly sensitive to sunlight, so Kagura carries a purple parasol at all times. The parasol is also the Yato clan's weapon of choice; Kagura's is bulletproof and fires bullets from its tip. Because of her Yato blood, she is super-strong and can stop a speeding motor-scooter with one hand. Although stronger than most humans, she cannot control her strength perfectly. Her super-human strength makes her extremely bad with pets. Most of her pets, with the exception of Sadaharu, have met with an untimely demise by her hands.

She is also extremely flexible and fast; capable of catching multiple speeding bullets between her teeth and fingers. During battle, she's often seen flipping through the air and performing various acrobatic feats. Due to her Yato blood, she is capable of rapid regeneration. During the Benizakura arc, she is seen healing from a gunshot wound almost overnight.

Kagura also has an unusually strong appetite. She is able to consume large quantities of food within a matter of seconds. Nevertheless, her tastes are endearingly plain. Sukonbu, rice, and eggs are among her favorite foods.

Her immediate family consists of her father, Umibouzu, a widely recognized alien hunter, her mother, who is deceased, and her older brother Kamui, once presumed missing who is now involved with the space pirates Harusame.

She came to Earth to earn money for her family. She found work fighting for a gang, but when they ordered her to kill her target, she ran away. Not long afterward, she met Gintoki and Shinpachi when Gintoki accidentally ran her down with his scooter. After they helped her to make a clean break from the gang, she intimidated Gintoki into hiring her. She now lives at the Yorozuya and sleeps in Gintoki's closet, like Doraemon.

Kagura and Gintoki share an odd brother-younger sister-like relationship. Together with Shinpachi, the three of them makes for a strange, dysfunctional, yet tightly knit family. Kagura is very protective of Gintoki. Although she herself has gotten into many fights with him, she rarely lets anyone else pick on him. She seems to trust wholeheartedly in Gintoki's ability and strength. Even in sticky situations, she has no doubt that Gin-chan would come and save her. She has a tendency to imitate Gintoki's bad habits (like picking her nose or swearing, hence her unladylike behavior) and would often quote the bad advice he gives her. Some of her lines start with ""Gin-chan says..."" or ""Gin-chan told me...""

Kagura is also somewhat of a tomboy. She is often seen partaking in games with various neighborhood boys. Although her candid manner of speech often causes them to shun her, she doesn't seem to mind. In fact, she has no problem at all with forcing her way into their game. In battle, she has proven to be bull-headed and a sore loser. Like Gintoki, and probably because of his influence, she is not above resorting to petty tricks and manipulation to get the better of her adversary. Unlike many conventional manga heroines, she doesn't display the same consciousness toward decorum, table manners, and physical appearance. Puking, cussing, picking her nose, spitting, fighting, and scratching herself are common behavior for Kagura.

She regards Okita, captain of the Shinsengumi, as a rival. She detests him and appeared to be disgusted when she previously mentioned (about Okita), that ""he definitely likes me,"" but as that hasn't been brought up since, it is uncertain on if it should be considered canon, that he apparently likes her.

Although Kagura usually teases Shinpachi, she deeply cares for him and thinks of him as a brother. She also shows great respect toward his older sister, Shimura Tae, often calling her ""Anego"" (a term gangster women use to show respect).

Her super-human strength makes her extremely bad with pets. Most of her pets, with the exception of Sadaharu (being her 27th pet), have met with an untimely demise by her hands (with the exception of Sadaharu 28,' a beetle killed by Okita). She cuddles with Sadaharu when feeling down. Kagura also seems to be the only one (aside from Ane, Mone, and Komako) who Sadaharu listens to.

According to the OVA, Kagura is the first and only Weekly Shonen Jump girl to vomit on-screen. To date, she has induced herself to vomit on several occasions. She also has an uncanny knack for seeming calm or detached during high-tension situations; in episode 5, she slept through a car-chase. Her appetite knows no bounds, and she is especially fond of sukonbu.

In Japanese, Kagura speaks in a stereotypical dialect that is associated with Chinese immigrants. In the English-translated manga, she punctuates her sentences with yup, uh-huh (aru), nope, and the like.


In the Yoshiwara in Flames arc, Kagura meets her older brother, Kamui who abandoned her because she was weak in his eyes. During the Yoshiwara in Flames arc, Kagura and Shinpachi teamed up against a Yato veteran named Abuto. When Shinpachi was mortally wounded by Abuto, Kagura can no longer hold against her Yato blood and revealed her true inner killing instincts against Abuto. Abuto is easily overwhelmed by Kagura's true power.
In the last Gintama character popularity poll, she came in the 6th place."
Shimura, Shinpachi;Shinpachi Shimura (志村新八);"Shinpachi ""Shin-chan, Shin, Pattsuan, Megane, Pachie, Shintank, Watson, Pasta"" Shimura";"
Birthdate: August 12
Zodiac: Leo
Height: 166 cm
Weight: 55 kg
Age: 16

Shinpachi Shimura works under Gintoki to learn the ways of the samurai. He used to stay at his family's dōjo. However, it seems more like he's just trying to help Gintoki pay the rent than to learn. Shinpachi is the captain of the ""Otsu's Imperial Guard,"" a pop-singer's fan club.

Shinpachi meets Gintoki after Shinpachi was tripped by the ambassador of Planet Chatoran. Gintoki beats up the ambassador and his guards, not to stand up for Shinpachi, but to get revenge for his spilled parfait. Gintoki frames Shinpachi for the crime, which somehow led to him saving Shimura Tae (Otae), Shinpachi's sister, from becoming part of a brothel.

Despite his meek appearance, Shinpachi is a more than competent swordsman of his family's Kakidō-Ryu, the type of swordmanship his dojo teaches.

In the character popularity poll, he was in 8th place.

His name is roughly based on Shinsengumi member Nagakura Shinpachi and comedian Ken Shimura."
Hijikata, Toushirou;Toushirou Hijikata (土方 十四郎);"Toushirou ""Mayora, Demonic Vice-Commander, Toshi, Thorny"" Hijikata";"
Species: human
Gender: male
Birthday: May 5 (Children's Day in Japan)
Zodiac: Taurus
Age: 27
Blood type: A
Height: 177 cm
Weight: 64 kg
Others: right-handed, chain smoker
Affiliations: Shinsengumi

Hijikata is the famed chain smoking, vice commander of the Shinsengumi so named by his subordinates, because of his fearsome demeanor. Purportedly the brains behind the force, he takes his work seriously, and is fiercely loyal to his leader, Isao Kondo.

Hijikata has a reputation as a fearsome leader, earning the nickname of ""demonic vice-commander."" He is also hot-tempered and often speaks of seppuku. However, despite his cold exterior, he does have a more compassionate side. He also has a tendency to cry after watching movies that are not particularly emotional.

Hijikata is obsessed with mayonnaise and thus has the nickname ""Mayora."" He has been known to smother anything he eats under a mountain of mayonnaise, and he carries a number of objects shaped like jars of mayonnaise, such as his cigarette lighter. He was popular with girls until they discovered this obsession.

He enjoys fighting and sees Gintoki as a rival in practically everything he does from drinking contests to rock, paper, scissors ever since being defeated by him in battle. He is in constant danger of being killed by the attempts on his life by Okita. But, despite all this, he sees Okita as one of his close friends, and vice versa.

Before joining Shinsengumi, he used to be a trouble-maker ronin. He enjoys fighting/having a good fight and says he doesn't care how many Amanto buildings get blown up, he only looks forward to having a big battle with the Joui rebels after Shinsengumi has rounded them in 1 fell swoop, in Episode 5.

He also formulated the Kyokuchuu Hatto, the 45 Regulations that form the disciplinary framework for Shinsengumi members, and implements them firmly.

(Source: Gintama Wikia, Wikipedia)"
