Char_Name;Name_Jap;Name_Nick;Char_Data
Zeppeli, Gyro;Gyro Zeppeli (ユリウス・カエサル・ツェペリ);"Gyro ""Julius Caesar, J-lo"" Zeppeli";"
Born Julius Caesar Zeppeli, but more commonly referred to as ""Gyro Zeppeli"".

Gyro has a cocky and flamboyant personality, appearing to have a high opinion of himself. However, he can be driven by emotions for other people and become realistic and serious when a problem presents itself. Like most Manga archetypes, Gyro is incredibly intelligent when he needs to be. His most distinguishable body features are his long hair, western hat and his gold teeth which have ""GO! GO! ZEPPELI"" displayed on them, revealed whenever he smiles at someone. His signature laugh/chuckle is ""Nyo ho ho ho~"".

Note that the ""Caesar"" in his name is pronounced in the traditional Greek way, more akin to the German ""Kaiser"". This is distinct from Caesar Anthonio Zeppeli from JoJo's Bizarre Adventure Part 2, whose name is pronounced in the modern English way.


In the final battle against Funny Valentine, Gyro uses the most advanced technique of the Golden Rectangle: the ""Super (or Cavalry) Spin"", which is created by invoking the golden rectangle while riding a horse to gain momentum. By combining this technique with his newly developed stand Ball Breaker, his attack becomes very powerful. Although his technique is very effective, it is not enough to beat Valentine, who resists his injuries long enough for Gyro to die from his own wounds. However, before dying, Gyro gives his last lesson to Johnny, allowing Tusk to reach ACT 4 and giving Johnny the power to defeat Funny Valentine."
Joestar, Johnny;Johnny Joestar (ジョニィ・ジョースター);"Johnny ""Jonathan, Joe Kid, JoJo"" Joestar";"
Johnny Joestar, also known as ""Joe Kid"" or ""JoJo"", was a racing prodigy. However, when waiting in line for a play, the girl he was with convinced him to cut to the front of the line and bribe the bouncers to throw out the youth in the front of the line, who had been waiting through the night. The youth shot Johnny, resulting in his being paralyzed from the waist down and sent to a hospital, where he was physically abused. Having lost all the friends and respect he had earned as a jockey, no one visited him during his stay in the hospital.

Near the beginning of the series Steel Ball Run, Johnny Joestar encountered Gyro Zeppeli and was brought to his feet upon touching Gyro's steel ball. Believing Gyro to be capable of teaching him to walk, Johnny joined the Steel Ball Race and followed him to be trained.


Johnny earns a Stand named ""Tusk"" when they venture into the Devil's Palm as a result of their fight with Dio and Dr. Ferdinand. Tusk is able to fire Johnny's spinning fingernails similar to a revolver, with the nails having to take a few seconds to regrow. This long range attack becomes his primary means of defense. His Stand is small in size and has the same star-pattern over it as on Johnny's clothing, it appears to reside inside of him and only comes out to offer advice. It cannot speak, only make animal-like noises. Later in the series, Johnny masters Gyro's ""Spin"" technique and uses it with his Stand's fingernail bullets; at one time, even being able to use it on himself. His Stand also evolves although remaining similar in appearance, now able to fire from the toenails on Johnny's paralyzed feet.
(Source: Wikipedia)"
Valentine, Funny;Funny Valentine (ファニー・ヴァレンタイン);Funny  Valentine;"
Funny Valentine is the main antagonist of Part 7. He is the twenty-third president of the United States. He is using the Steel Ball Run race to collect the scattered remains of Jesus Christ around the United States. He will do so by fair means or foul, sending assassins to eliminate Gyro for the purposes of retrieving the Saint's body. He was a former soldier, discharged after being tortured during a war; he has scars similar to the Stars and Stripes on his back.


His Stand is Dirty Deeds Done Dirt Cheap (often referred to as D4C). It allows different parallel worlds/dimensions to co-exist at the same time and/or in the same place. It also allows it's user to visit these parallel (near)worlds/dimensions and interact with them.
(Source: Wikipedia)"
Brando, Diego;Diego Brando (ディエゴ・ブランド);"Diego ""Dio"" Brando";"
Dio's alternate universe counterpart in Part 7 of JoJo's Bizarre Adventure, Steel Ball Run. under the name of Diego Brando (commonly referred to by his nickname Dio by other characters). He is very similar to the ""original"" Dio in both looks and personality, however, Diego is a famous professional jockey from England participating in the Steel Ball Run race across North America. He was raised among a group of homeless people, after his mother saved him from drowning in a river when he was still a baby. He was later adopted into nobility when his talent as a jockey was discovered. Although he was raised with much love, he is cold-hearted and will do virtually anything to win. After he loses the first stage of the Steel Ball Run to Gyro Zeppeli, he gets mad and considers Gyro his personal enemy from that point onwards. .

(Source: JJBA Wiki)"
Steel, Lucy;Lucy Steel ;Lucy  Steel;"
Lucy Steel is the wife of Steven Steel, the organizer of the Steel Ball Run. Lucy's involvement with the story truly begins when Funny Valentine is introduced. Lucy finds out that Funny Valentine plans to gather the bones of ""The Saint"" for his own needs and also kill Steven Steel. Lucy goes to great lengths to prevent this from happening.


Later on Lucy tries to help Hot Pants steal back the heart of Jesus'; corpse from the president by disguising herself as the president's wife. She is captured by Valentine though and is chosen by the corpse to be it's user, turning her into an artificial Stand user and allows her to use it's ""holy field"" inducing ability that Valentine plans to use to become the leader of the world."
Christ, Jesus;Jesus Christ ;Jesus  Christ;"
According to the story told in the manga, after Jesus' resurrection, he thanked Joseph of Arimathea for the care of his body and stated that he would travel to the east. When Joseph asked him about a future meeting, Jesus made a map in the sand showing Joseph nine locations.

Jesus then traveled east across the continent, learning new languages and cultures until he reached the sea. Making a ship with the help of the locals, he set off across the sea to what would be known as America, where he lived, aged, and was finally put to rest. He seemed to have at least partial connection with the natives, who stated prior to his deathbed that they wished to see him. Shortly after his death, a large earthquake tore the ground apart, dividing his corpse by the movement of sand and relocating it to the different areas of America that would become the nine locations on Joseph of Arimathea's map.

(Source: JJba Wikia)"
Roadagain, Ringo;Ringo Roadagain ;Ringo  Roadagain;"
Ringo Roadagain is introduced during the 4th Stage of the Steel Ball Run. He traps Gyro, Johnny, and Hot Pants near a cabin located in a forest. Ringo challenges Johnny to kill him, and claims it's the only way to escape. Once Johnny and Hot Pants are bested, he permits Gyro to leave, or enter the ""True Man's World.""

His stand is Mandom. The stand can reverse six seconds of time by turning his wristwatch back six seconds."
Hot Pants;Hot Pants  ;"Hot Pants ""HP"" ";"
Hot Pants is first seen at the end of the 3rd Stage of Steel Ball Run. ""He"" runs into Gyro and Johnny before meeting Ringo Roadagain. It's revealed after the battle with Ringo that Hot Pants is actually a woman.

Her stand is called Cream Starter. It is a spray that can change flesh into foam and relocate any flesh it absorbs. It can also heal wounds in the same way.


When she was a child, her brother and she were attacked by a grizzly bear and hid in a rock crevice. Hot Pants only managed to survive because she sacrificed her brother's life by pushing him out of the crevice. Her hometown's people thought it was a tragic accident, but Hot Pants became unable to bear the burden of the truth surrounding her brother's death. She became a nun, hoping to earn forgiveness from God and her brother. In 1890, she came to America as an agent of the Vatican to collect the Corpse Parts. She believes that the Holy Corpse can cleanse her ""sin"". She sides with Diego in the battle against Valentine, but dies by flying out of the train."
Brando, Alternate Diego;Alternate Diego Brando (ディエゴ・ブランド);Alternate Diego  Brando;"
This Diego is introduced after the death of the original to the ""root world"" of the Corpse by Funny Valentine. He is a racer from a similar Steel Ball Run happening in another universe. Upon request from the President and coveting the Saint's Corpse, he confronts Johnny Joestar in the final stage of the Steel Ball Run. (Source: JoJo's Wikia)"
Wekapipo;Wekapipo  (ウェカピポ);Wekapipo  ;"
Wekapipo is introduced near the end of Stage 6 of the Steel Ball Run race. Originally, he was an imperial guard, but was exiled out of the country by Gyro Zeppeli's father. He now works with the President to get the corpse parts and kill Gyro and Johnny in return for citizenship and residence in the United States as well as a high ranking position in the government.

His stand name is Wrecking Ball. It's a steel ball that has 14 ""satellites."" When used, the shockwaves of being hit by the satellites makes the target loose the sensation in the left side of their body."
Elric, Edward;Edward Elric (エドワード・エルリック);"Edward ""Ed, Fullmetal Alchemist, Hagane no shounen, Chibi, Pipsqueak"" Elric";"
Age: 15-16 (series), 18 (movie, end of the series)
Birthday: 1899
Birthplace: Resembool, Amestris
Family: Alphonse Elric (brother)
Trisha Elric (mother, deceased)
Van Hohenheim (father)
Affiliations: State Military
Winry Rockbell
Pinako Rockbell
Izumi Curtis (teacher)
Roy Mustang (Commander)
Species: Human
Occupation: State Alchemist
Abilities: Alchemy, Martial Arts
Weapon: Alchemy, Automail arm and leg

Edward ""Fullmetal Alchemist"" Elric is a young alchemical prodigy. He is the youngest State Alchemist ever to be recognized by the Amestris State Military, having received the title at the age of 12. Ed's primary motivation throughout the series is to return his younger brother, Alphonse, to his original body, which was lost in a failed human transmutation. Edward, despite his occasional bouts of immaturity, is a selfless boy who gains a reputation as a ""hero of the people"" throughout his youth. Notably, he doesn't seem concerned about returning his own arm and leg, instead focusing entirely on Al's suffering.

Edward is small for his age, standing at only 149 cm (4'11""), however his body is that of an experienced martial artist, with noticeable muscles and a wealth of agility. Although he lacks both his right arm and left leg, Ed's ability to fight is not impaired, and is in fact improved, as he will often use alchemy to cause his metal arm to partly transform into a blade or shield. His heavy automail limbs are considered by him to be the very best in Amestris. They were made by his childhood friend, Winry Rockbell, and she is constantly working on them. He is able to think quickly, even in desperate situations, though can still be frightened into paralysis. These qualities, combined with his alchemical powers and physical strength, make him a formidable fighter.

Born to Trisha Elric and Van Hohenheim of Resembool in the winter of 1899, Edward's first few years were relatively happy; but after the sudden departure of his father during the lad's formative years, Ed was left with his mother and younger brother Alphonse as his only family. The three Elrics lived in peace in the rural village and the boys began displaying a remarkable talent for alchemy at a young age, much to the joyful astonishment of his mother. However, early in the year 1904, Trisha contracted an illness that had been spreading in the area and died, leaving her two sons orphaned. Even while mourning, mired in grief, Edward vowed to his brother that the two of them would find a way to bring their dear mother back to life with the power of alchemy.

Edward and Alphonse spent the next few years living on their own in the Elric family home, supported by their close childhood friend Winry Rockbell and her grandmother Pinako, and pursuing the alchemical knowledge necessary for their planned resurrection. Although they had gained a great deal of information and comprehension regarding the extended basics of the craft, before long it became apparent to the young prodigies that there was only so far they could go while being self-taught. In a stroke of good fortune, Resembool was visited by an exceptionally skilled alchemist named Izumi Curtis who, after some persuasion, agreed to take the Elric brothers on as her apprentices provided they pass a preliminary test. After they do, the Elric brothers were subjected to Izumi's intensive alchemy and martial arts training, growing significantly in both mind and body and gaining a great deal of alchemical knowledge before returning to Resembool.

Though instructed specifically by Izumi to understand that death is an irreversible part of the flow of the world and that acceptance of such is important to the ""One is All, All is One"" concept, the boys dove headlong into their plan to resurrect their mother upon their homecoming, having advanced their knowledge while abroad and discovered the basics to a forbidden practice called Human Transmutation.

Devising a Human Transmutation Circle, amassing the elemental ingredients for an adult human body and offering their own blood as soul and biological data, the boys secretly initiated the Human Transmutation in their home. Unfortunately, the Human Transmutation resulted in a Rebound.

Alphonse and Edward were pulled into The Gate. Encountering the mysterious being called Truth, Edward was stripped of his left leg in exchange for crossing into God's domain and peeking at the Gate's vast wealth of alchemical knowledge. Maimed and bleeding, Edward was returned to the human dimension to find that Alphonse had not yet returned from his disappearance into the Gate, that the mother they had attempted to revive was a grotesque mass of organs only capable of sustaining life for a few moments and that his own sojourn into the Gate had granted him the curious ability to perform transmutations merely by clapping his hands together, without the aid of a Transmutation Circle - in the same style used by Izumi. Desperate to at least have his brother by his side, Edward willfully performed another Human Transmutation to call him back, this time sacrificing his right arm in exchange for Al's soul, which he bound alchemically to an antique suit of armor with a Blood Rune before passing out from severe blood loss. Alphonse carried Ed to the Rockbell house, where a shocked Pinako and Winry performed emergency surgery to save the young boy's life.

On the night of the failed transmutation. Lt. Colonel Flame alchemist Roy Mustang came to the Rockbell's in response to a letter that Edward and Alphonse had sent him in the mail asking about their Father. He was shocked at the fact that the two boys had tried human alchemy and survived, and informed them that they could become state alchemist and maybe one day find a way to return their bodies to the way they were. Desperate to get His younger brother's body back, Edward asked the Rockbells to give him prosthetic limbs called automail. Though they warned him the surgery would be painful, he said the pain was nothing compared to what his brother had given up. He only took a year to adapt to the automail at age 11 when it took most adults 3 years."
Elric, Alphonse;Alphonse Elric (アルフォンス・エルリック);"Alphonse ""Al, Armored Alchemist"" Elric";"
Birthplace:
Resembool

Date of Birth:
1900

Age:
14-15 (17 at the end)

Family:
Edward Elric (brother)
Trisha Elric (mother, deceased)
Van Hohenheim (father)

Species:
Human

Occupation:
Alchemist

Abilities:
Alchemy, Martial Arts, High Intelligence, Highly Resistant Armor Body

Weapon:
Fists, Alchemy

Alphonse Elric is a fictional character in the manga and anime series Fullmetal Alchemist. He is a human child who lost his body during a forbidden alchemical transmutation to bring his deceased mother back to life, and had his soul transmuted into a suit of armor by his brother, Edward Elric. Al's blood seal lies just below the base of the neck at the back of the suit, on the inside. It is drawn with Ed's blood. According to Edward, he needs to be careful whenever he reconstructs Alphonse's body because he must keep the blood seal intact during the transmutation. If the blood seal is removed, Al's soul will be lost.

""Kindness in a can."" - Edward Elric

(Source: Wikipedia)"
Mustang, Roy;Roy Mustang (ロイ・マスタング);"Roy ""Flame Alchemist"" Mustang";"
Birthday: 1885 (Age 30 from vol. 10)
Height: 5'8"" (173 cm)

Roy Mustang is the ""Flame Alchemist,"" having absolute control over heat and fire through alchemy. Using special gloves that create a spark when he snaps his fingers, Roy can create anything from a tiny ember to burn a letter, to a raging inferno that can destroy a humanoid body in seconds. His precise control over the alchemically enhanced flame is so accurate that he can boil the water in a persons' eyes and can also attack enemies amongst a riot without hurting any allies.

Outwardly arrogant and playfully manipulative, Mustang is intelligent and almost always one step ahead of his opponents, and likes to feel in control of the situation. He is one of the superiors of Edward Elric. On the surface, he appears to be nothing more than a man of the military who pursues promotions and praise and is considered a ladies' man who constantly goes on dates with different women. Mustang's true goal is to become Führer in order to gain the power to reform the government in order to absolve his sins in the Ishval War as well as change the country for the better, along with the joking requirement for female officers to wear tiny miniskirts (which considerably increased Havoc's loyalty to him and caused Hawkeye to be angry with him).

His goals are admirable enough that he earns the fierce loyalty of his good friends Lt Col. Maes Hughes, Major Alex Louis Armstrong, and his own subordinates, among whom are Riza Hawkeye, Jean Havoc, Heymans Breda, Vato Falman, and Kain Fuery. While Mustang has a close and amicable relationship with all of his subordinates, he appears to share a deeper bond of affection with his second-in-command Riza Hawkeye, who has devoted her life to supporting him. This bond culminates in the final episodes of the anime when Mustang chooses Hawkeye alone to accompany him on his greatest and most dangerous mission.

Though a hero of the Ishval War, he remains haunted by the horrors of war and suffers great remorse for the lives he took.


After the Promised Day arrives, he is forced to open the gate by Pride and Wrath, they first try to make him do it voluntarily by reviving Hawkeye, but he refuses. So Pride opens the gate for him using his Philosopher's Stone. Mustang gains the power to transmute without a circle, however his price is his eyesight.
(Source: Wikipedia)"
Hughes, Maes;Maes Hughes (マース･ヒューズ);Maes  Hughes;"
Maes Hughes is a character that is hard not to love. He is often seen as the comedy relief but has his debuts as a serious and skilled fighter. He is best friends with Roy Mustang (and would do anything to help Roy achieve his goals) and a loving and devoted husband/father. Maes would do anything for his wife Gracia and always carries pictures of his daughter Elycia in his uniform and never misses a chance to show everyone how cute she is. He starts out in the anime as a Major in the Investigation Division and eventually becomes a Lieutenant Colonel.


He is killed by Envy upon his discovery of Father's plans, and is posthumously promoted to Brigadier General after his death."
Greed;Greed  (グリード);Greed  ;"
Greed is a greedy Homunculus, nicknamed the ""Ultimate Shield"". He is able to rearrange the carbon in his body to make his skin as hard as diamond, thus making himself almost impossible to injure. As his name implies he is a very avaricious character, who likes living in luxury, surrounded by powerful minions and beautiful women. Despite his generally greedy nature, he is shown to honestly care for his subordinates. He also has a habit of flipping people off in the manga.


In the 2003 anime series
Greed is the second oldest of the Homunculi created by Dante. However, due to his avarice, Greed rebelled and was eventually captured and imprisoned in lab 5. He was imprisoned for 130 years until an explosion broke his seal. He then freed the caged chimera at Lab 5 in exchange for helping him get his revenge on the other homunculi and their master.


In the manga and 2009 anime series
He is the third Homunculus created by Father. Greed apparently abandoned the other Homunculi over 100 years before the start of the series and claims to be around two centuries old. He first appears hiding in the Devil's Nest in Dublith, with his gang of chimeras all of whom he apparently rescued from military experimentation.


After Greed is punished by Father, he later returns as Father removes his son's Philosophers Stone core from his own body and inserts it directly into the body of Ling Yao to create a second Human-based Homunculus. This second Greed maintains all the same personality and powers as the first (his Ouroboros tattoo is even in the same spot), but appears to have none of his previous memories, not recognizing Envy, Gluttony or the Elric Brothers. As such, he becomes a faithful servant of his Father, as the first Greed was presumed to have been initially, and refers to all actions prior to his rebirth as having been done by ""the other Greed"". However, as Greed is a host in Ling Yao's body, Ling is able to regain control of his body if Greed let's his guard down or allows him to. By doing this, Ling is able to regain his sixth sense of detecting another's presence, but is not able to use the Ultimate Shield. Greed is reluctant to willingly give him back his body however. After killing a past comrade and follower of his, memories from Greed's previous life returned, including his time in the Devil's Nest and the feelings he had for his followers. Remembering this, along with how Bradly killed most of his followers, leads Greed to betraying Father once again. He also stops referring to his ""previous self"" as ""the other Greed"" upon regaining his memories. After forming a temporary alliance with Edward and company, Greed and Ling help in the fight against the Homunculi and the Central Troopers. In the afternath, as Edward, Alphonse and the military engage Father, he steps in and allows Father to absorb his Philosopher's Stone, afterwards giving Ling his body back, claiming the only thing he truly wanted were friends. He then reverses his Ultimate Sheild, turning Father into a brittle coal-like substance and fades away with his Father, a smile on his face.
(Source: Fullmetal Alchemist Wikia)"
Hawkeye, Riza;Riza Hawkeye (リザ・ホークアイ);Riza  Hawkeye;"
Riza Hawkeye is Roy Mustang's most trusted subordinate. She carries out many of the tasks he is too lazy to do, acts as his personal assistant, and protects him from danger. She also doubles as his voice of reason, keeping cool in heated situations and scolding him when he allows his emotions to get in the way. Riza and Roy seem to share a close relationship in both adaptations of Fullmetal Alchemist; in the anime she identifies him as her most precious person, whereas in the manga she loses her resolve to live when believing he has been killed. Riza specializes in firearms, particularly sniper rifles, and can hit nearly any target with lethal accuracy. She adopts a dog, called Black Hayate in both the anime and the manga, which she raises with stern discipline; when Hayate goes to the bathroom inside, she shoots at the wall behind him to reinforce that doing so is bad."
Armstrong, Alex Louis;Alex Louis Armstrong ;"Alex Louis ""Major, Strong Arm Alchemist"" Armstrong";"
Major Alex Louis Armstrong, the Strong Arm Alchemist, was born into an elite family of alchemists and has mastered his family's techniques. Members of his family have, in the past, filled the highest military and political positions in the state. He acquired his alchemy titles for his skill of using arm strength in his alchemy. All though he may look intimidating, he is really friendly and (overly)affectionate, and often stays behind or risks his life for the safety of others. He also has a tendency to show off techniques passed down to him to his enemies, and make them feel somewhat awkward during a battle.

The scion of the illustrious Armstrong family, Alex is a remarkably caring commander and friend as well as an invaluably skilled ally to Colonel Roy Mustang and Edward Elric."
Yao, Ling;Ling Yao (リン・ヤオ);Ling  Yao;"
Ling Yao is a Xingese character exclusive to the manga and the 2009 anime series. Due to his father, the Emperor's, declining health, Ling left his country to find the Philosopher's Stone to stabilize Xing, as well as grant him the key to immortality. Although he is the 12th son of the Emperor, Ling hopes the Philosopher's Stone will help him rise in the order of succession and achieve the throne thereby securing his clan's welfare. Though he is often laid back and hungry, he's very noble and will do whatever it takes to help his clan. He is also a skilled fighter and has had many incidents involving assassination attempts at his life. He has formed a strong rivalry with Ed, by doing things such as use Ed's money to annoy him.


After the 1st Greed is punished by Father, he gives Ling the secret to immortality by transforming him into the succeeding Greed. Ed tries to help, but Ling denies his help as it is the only way to help his clan in the land of Xing. Even while his body is taken over by Greed his mind and soul are kept intact and can come to the surface. Since Greed understands his strong points their relationship is on some kind of symbiotic level.

After the main events of the series, he is shown to be the new Emperor of Xing; sitting on the throne, with Lan Fan still acting as his bodyguard."
